is_post,publish_date,author,url,post_title,comment_count
1,"Sunday, September 23, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/09/tedxdelft-never-grow-up-october-5th.html,TEDxDelft: Never grow up - October 5th,0
1,"Wednesday, September 19, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/09/on-morning-routines_19.html,On morning routines,6
1,"Tuesday, July 31, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/07/9th-fib-phd-symposium-in-civil.html,9th fib PhD Symposium in Civil Engineering,4
1,"Thursday, July 19, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/07/iabmas-2012.html,IABMAS 2012,2
1,"Friday, July 6, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/07/how-to-stop-making-excuses.html,How to stop making excuses,0
1,"Wednesday, July 4, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/07/spreiding-puntlasten-plaatviaducten.html,Spreiding puntlasten plaatviaducten,0
1,"Saturday, June 30, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/06/who-buys-music-anyway.html,Who buys music anyway?,2
1,"Thursday, June 28, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/06/ten-great-blogs-for-phd-students.html,Ten great blogs for PhD students,21
1,"Tuesday, June 26, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/06/giving-poster-presentation-for-first.html,Giving a poster presentation for the first time,5
1,"Sunday, June 24, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/06/international-bridge-conference-2012.html,International Bridge Conference 2012,2
1,"Tuesday, June 5, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/06/my-time-management-system.html,My time management system,8
1,"Saturday, May 26, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/05/top-10-posts-on-phd-talk.html,Top 10 posts on PhD Talk,1
1,"Sunday, May 13, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/05/priorities-versus-dead-work.html,Priorities versus Dead Work,0
1,"Monday, April 30, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/book-review-george-saunders-pastoralia.html,Book review: George Saunders - Pastoralia,0
1,"Saturday, April 28, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/pzizz.html,Pzizz,4
1,"Thursday, April 26, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/benefits-of-750-words.html,The benefits of 750 words,0
1,"Monday, April 23, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/how-to-make-meditation-habit.html,How to make meditation a habit,0
1,"Saturday, April 21, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/twitter-and-scientists.html,Twitter and scientists,2
1,"Friday, April 20, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/at-beginning-of-road.html,At the beginning of the road...,0
1,"Monday, April 16, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/how-to-write-paper-in-two-days.html,How to write a paper in two days,5
1,"Saturday, April 14, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/getting-your-message-through-on-twitter.html,Getting your message through on Twitter,2
1,"Thursday, April 12, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/slideshare.html,Slideshare,4
1,"Wednesday, April 11, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/gaining-confidence-in-your-research.html,Gaining confidence in your research,0
1,"Monday, April 9, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/on-perseverance.html,On perseverance,4
1,"Thursday, April 5, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/to-pomodoro-or-not-to-pomodoro.html,To Pomodoro or not to Pomodoro?,5
1,"Monday, April 2, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/04/improving-your-spotify-experience.html,Improving your Spotify experience,0
1,"Saturday, March 31, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/thank-you-fulbright.html,Thank you Fulbright,6
1,"Thursday, March 29, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/first-lecture-ever.html,First lecture - ever,0
1,"Wednesday, March 28, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/setup-for-half-scale-slab-shear.html,A setup for half-scale slab shear experiments,0
1,"Monday, March 26, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/finding-time-for-writing.html,Finding time for writing,9
1,"Saturday, March 24, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/phd-movie.html,The PhD Movie,0
1,"Thursday, March 22, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/using-iphone-to-battle-insomnia.html,Using the iPhone to battle insomnia,7
1,"Wednesday, March 21, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/from-real-traffic-on-bridge-to-square.html,From real traffic on a bridge to a square steel plate,2
1,"Monday, March 19, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/writers-little-helper.html,The writer's little helper,0
1,"Sunday, March 18, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/03/contents-of-my-job.html,Contents of my job,3
1,"Thursday, February 16, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/02/new-world-of-work-for-scientists.html,A new world of work for scientists,0
1,"Monday, February 13, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/02/doing-phd-is-it-work-or-school.html,Doing a PhD: is it work or school?,0
1,"Sunday, February 12, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/02/inserting-chapter-title-to-header-in.html,Inserting the chapter title to the header in Word 2010,32
1,"Saturday, February 11, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/02/explaining-your-work-to-friends-and.html,Explaining your work to friends and family,4
1,"Monday, February 6, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/02/tools-for-planning-towards-defense.html,Tools for planning towards the defense,1
1,"Saturday, February 4, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/02/another-presentation-style.html,Another presentation style,6
1,"Saturday, January 21, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/01/journal-top-5.html,Journal top 5,2
1,"Thursday, January 19, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/01/simplify.html,Simplify,2
1,"Sunday, January 8, 2012",eva lantsoght,http://phdtalk.blogspot.com/2012/01/cleaning-out-information-stream.html,Cleaning out the information stream,4
1,"Monday, November 28, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/11/four-reasons-for-blogging.html,Four reasons for blogging,5
1,"Monday, November 14, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/11/basic-elements-of-presentation-with.html,The basic elements of a presentation with slides,0
1,"Sunday, November 13, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/11/how-to-present-calculations-in-report.html,How to present calculations in a report,0
1,"Monday, November 7, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/11/ideas-and-feynman-tedxdelft.html,Ideas - and Feynman (TEDxDelft),1
1,"Sunday, November 6, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/11/space-research-and-tourism-tedxdelft.html,Space: Research and Tourism (TEDxDelft),0
1,"Wednesday, October 19, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/10/creating-history-tedxdelft-7-november.html,Creating history &#8211; TEDxDelft 7 november 2011,0
1,"Wednesday, October 12, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/10/studying-versus-research.html,Studying versus Research,5
1,"Monday, October 10, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/10/five-pitfalls-to-avoid-when-working.html,Five pitfalls to avoid when working from home,5
1,"Thursday, September 29, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/diversity.html,Diversity,2
1,"Thursday, September 22, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/presentation-in-dutch.html,A presentation in Dutch,0
1,"Monday, September 19, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/five-reasons-why-i-decided-to-pursue.html,Five reasons why I decided to pursue a PhD,3
1,"Thursday, September 15, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/blog-birthday.html,Blog birthday!,3
1,"Sunday, September 11, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/structural-engineering-conferences.html,Structural engineering conferences,0
1,"Saturday, September 3, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/five-helpful-websites.html,Five helpful websites,4
1,"Thursday, September 1, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/09/halfway-my-phd.html,Halfway my PhD,0
1,"Monday, August 29, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/08/making-of-specimen.html,The making of a specimen,4
1,"Sunday, August 28, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/08/phd-defense-at-georgia-tech.html,A PhD defense at Georgia Tech,0
1,"Thursday, August 25, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/08/blog-post-about-holidays.html,Blog post about holidays,2
1,"Monday, August 1, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/08/how-to-write-abstract-in-30-minutes.html,How to write an abstract in 30 minutes,38
1,"Sunday, July 31, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/book-review-starting-research.html,Book review: Starting research: An introduction to academic research and dissertation writing - Roy Preece,2
1,"Friday, July 22, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/focus-booster.html,Focus Booster,7
1,"Monday, July 18, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/heres-list-of-what-i-currently-have-in.html,Blogs I am currently following,9
1,"Sunday, July 17, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/using-shortcuts-to-write-faster.html,Using shortcuts to write faster,7
1,"Monday, July 11, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/who-am-i-to-speak-up.html,Who am I to speak up?,5
1,"Sunday, July 10, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/how-to-tackle-large-task.html,How to tackle a large task,11
1,"Sunday, July 3, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/07/more-mindfulness.html,More mindfulness,0
